genres,id,keywords,title,overview,cast,director,combined
"['sciencefiction', 'adventure', 'action']",1497,"['crimefighter', 'fight', 'mutant']",teenage mutant ninja turtles ii: the secret of the ooze,"The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.","['paigeturco', 'davidwarner', 'michelansisti']",michaelpressman,"[ ' c r i m e f i g h t e r ' ,   ' f i g h t ' ,   ' m u t a n t ' ] [ ' p a i g e t u r c o ' ,   ' d a v i d w a r n e r ' ,   ' m i c h e l a n s i s t i ' ] michaelpressman [ ' s c i e n c e f i c t i o n ' ,   ' a d v e n t u r e ' ,   ' a c t i o n ' ]"
"['crime', 'drama', 'history']",117,"['whitesuit', 'alcapone', 'toughcop']",the untouchables,"Young Treasury Agent Elliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.","['kevincostner', 'seanconnery', 'charlesmartinsmith']",briandepalma,"[ ' w h i t e s u i t ' ,   ' a l c a p o n e ' ,   ' t o u g h c o p ' ] [ ' k e v i n c o s t n e r ' ,   ' s e a n c o n n e r y ' ,   ' c h a r l e s m a r t i n s m i t h ' ] briandepalma [ ' c r i m e ' ,   ' d r a m a ' ,   ' h i s t o r y ' ]"
"['crime', 'drama', 'thriller']",6977,"['texas', 'drugtraffic', 'hitman']",no country for old men,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.","['tommyleejones', 'javierbardem', 'joshbrolin']",joelcoen,"[ ' t e x a s ' ,   ' d r u g t r a f f i c ' ,   ' h i t m a n ' ] [ ' t o m m y l e e j o n e s ' ,   ' j a v i e r b a r d e m ' ,   ' j o s h b r o l i n ' ] joelcoen [ ' c r i m e ' ,   ' d r a m a ' ,   ' t h r i l l e r ' ]"
"['action', 'comedy']",168530,"['policeoperation', 'policeofficer', 'brother-in-lawbrother-in-lawrelationship']",ride along,"For the past two years, high-school security guard Ben has been trying to show decorated APD detective James that he's more than just a video-game junkie who's unworthy of James' sister, Angela. When Ben finally gets accepted into the academy, he thinks he's earned the seasoned policeman's respect and asks for his blessing to marry Angela. Knowing that a ride along will demonstrate if Ben has what it takes to take care of his sister, James invites him on a shift designed to scare the hell out of the trainee. But when the wild night leads them to the most notorious criminal in the city, James will find that his new partner's rapid-fire mouth is just as dangerous as the bullets speeding at it.","['icecube', 'kevinhart', 'johnleguizamo']",timstory,"[ ' p o l i c e o p e r a t i o n ' ,   ' p o l i c e o f f i c e r ' ,   ' b r o t h e r - i n - l a w b r o t h e r - i n - l a w r e l a t i o n s h i p ' ] [ ' i c e c u b e ' ,   ' k e v i n h a r t ' ,   ' j o h n l e g u i z a m o ' ] timstory [ ' a c t i o n ' ,   ' c o m e d y ' ]"
"['comedy', 'romance', 'drama']",634,"['holiday', 'londonengland', 'england']",bridget jones's diary,"A chaotic Bridget Jones meets a snobbish lawyer, and he soon enters her world of imperfections.","['renéezellweger', 'colinfirth', 'hughgrant']",sharonmaguire,"[ ' h o l i d a y ' ,   ' l o n d o n e n g l a n d ' ,   ' e n g l a n d ' ] [ ' r e n é e z e l l w e g e r ' ,   ' c o l i n f i r t h ' ,   ' h u g h g r a n t ' ] sharonmaguire [ ' c o m e d y ' ,   ' r o m a n c e ' ,   ' d r a m a ' ]"
"['comedy', 'drama', 'romance']",392,"['chocolate', 'mayor', 'praline']",chocolat,"A fable of emotional liberation and chocolate. A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them as they represent free-thinking and indulgence. When a group of Boat Gypsies float down the river the prejudices of the Mayor leads to a crisis.","['juliettebinoche', 'alfredmolina', 'johnnydepp']",lassehallström,"[ ' c h o c o l a t e ' ,   ' m a y o r ' ,   ' p r a l i n e ' ] [ ' j u l i e t t e b i n o c h e ' ,   ' a l f r e d m o l i n a ' ,   ' j o h n n y d e p p ' ] lassehallström [ ' c o m e d y ' ,   ' d r a m a ' ,   ' r o m a n c e ' ]"
['comedy'],10327,"['washingtond.c.', 'boston', 'chambersofabarrister']","legally blonde 2: red, white & blonde","After Elle Woods, the eternally perky, fashionably adventurous, famously blonde Harvard Law grad gets fired by her law firm because of her opposition to animal testing, she takes her fight to Washington. As an aide for Congresswoman Victoria Rudd, she pushes for a bill to ban testing once and for all, but it's her building's doorman who advises her on how to get her way on the Hill.","['reesewitherspoon', 'sallyfield', 'reginaking']",charlesherman-wurmfeld,"[ ' w a s h i n g t o n d . c . ' ,   ' b o s t o n ' ,   ' c h a m b e r s o f a b a r r i s t e r ' ] [ ' r e e s e w i t h e r s p o o n ' ,   ' s a l l y f i e l d ' ,   ' r e g i n a k i n g ' ] charlesherman-wurmfeld [ ' c o m e d y ' ]"
['comedy'],88042,[],parental guidance,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,"['billycrystal', 'bettemidler', 'marisatomei']",andyfickman,"[ ] [ ' b i l l y c r y s t a l ' ,   ' b e t t e m i d l e r ' ,   ' m a r i s a t o m e i ' ] andyfickman [ ' c o m e d y ' ]"
"['comedy', 'romance']",41630,"['fathersonrelationship', 'casualmeeting', 'studentofmedicine']",no strings attached,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?","['natalieportman', 'ashtonkutcher', 'kevinkline']",ivanreitman,"[ ' f a t h e r s o n r e l a t i o n s h i p ' ,   ' c a s u a l m e e t i n g ' ,   ' s t u d e n t o f m e d i c i n e ' ] [ ' n a t a l i e p o r t m a n ' ,   ' a s h t o n k u t c h e r ' ,   ' k e v i n k l i n e ' ] ivanreitman [ ' c o m e d y ' ,   ' r o m a n c e ' ]"
"['action', 'adventure', 'drama']",11969,"['retirement', 'wyattearp', 'rightandjustice']",tombstone,"Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.","['kurtrussell', 'valkilmer', 'samelliott']",georgep.cosmatos,"[ ' r e t i r e m e n t ' ,   ' w y a t t e a r p ' ,   ' r i g h t a n d j u s t i c e ' ] [ ' k u r t r u s s e l l ' ,   ' v a l k i l m e r ' ,   ' s a m e l l i o t t ' ] georgep.cosmatos [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' d r a m a ' ]"
"['action', 'crime', 'thriller']",2085,"['martialarts', 'hip-hop', 'oakland']",romeo must die,"Two warring gang families (one African-American, the other Chinese) maneuver for bragging rights to the Oakland, California, docks. Hang SIng and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead … or worse!","['jetli', 'aaliyah', 'isaiahwashington']",andrzejbartkowiak,"[ ' m a r t i a l a r t s ' ,   ' h i p - h o p ' ,   ' o a k l a n d ' ] [ ' j e t l i ' ,   ' a a l i y a h ' ,   ' i s a i a h w a s h i n g t o n ' ] andrzejbartkowiak [ ' a c t i o n ' ,   ' c r i m e ' ,   ' t h r i l l e r ' ]"
"['horror', 'thriller']",794,"['monk', 'prophecy', 'ambassador']",the omen,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil. A classic horror film with Gregory Peck from 1976.","['gregorypeck', 'leeremick', 'davidwarner']",richarddonner,"[ ' m o n k ' ,   ' p r o p h e c y ' ,   ' a m b a s s a d o r ' ] [ ' g r e g o r y p e c k ' ,   ' l e e r e m i c k ' ,   ' d a v i d w a r n e r ' ] richarddonner [ ' h o r r o r ' ,   ' t h r i l l e r ' ]"
"['horror', 'mystery']",9286,"['beheading', 'dyinganddeath', 'strokeoffate']",final destination 3,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate.","['maryelizabethwinstead', 'ryanmerriman', 'krislemche']",jameswong,"[ ' b e h e a d i n g ' ,   ' d y i n g a n d d e a t h ' ,   ' s t r o k e o f f a t e ' ] [ ' m a r y e l i z a b e t h w i n s t e a d ' ,   ' r y a n m e r r i m a n ' ,   ' k r i s l e m c h e ' ] jameswong [ ' h o r r o r ' ,   ' m y s t e r y ' ]"
"['drama', 'romance']",77877,"['basedonnovel', 'wifehusbandrelationship', 'photo']",the lucky one,"U.S. Marine Sergeant Logan Thibault returns from his third tour of duty in Iraq, with the one thing he credits with keeping him alive-a photograph he found of a woman he doesn't even know. Learning her name is Beth and where she lives, he shows up at her door, and ends up taking a job at her family-run local kennel. Despite her initial mistrust and the complications in her life, a romance develops between them, giving Logan hope that Beth could be much more than his good luck charm.","['zacefron', 'blythedanner', 'taylorschilling']",scotthicks,"[ ' b a s e d o n n o v e l ' ,   ' w i f e h u s b a n d r e l a t i o n s h i p ' ,   ' p h o t o ' ] [ ' z a c e f r o n ' ,   ' b l y t h e d a n n e r ' ,   ' t a y l o r s c h i l l i n g ' ] scotthicks [ ' d r a m a ' ,   ' r o m a n c e ' ]"
"['adventure', 'drama', 'family']",1265,"['brothersisterrelationship', 'friendship', 'bullying']",bridge to terabithia,"Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen.","['joshhutcherson', 'annasophiarobb', 'robertpatrick']",gáborcsupó,"[ ' b r o t h e r s i s t e r r e l a t i o n s h i p ' ,   ' f r i e n d s h i p ' ,   ' b u l l y i n g ' ] [ ' j o s h h u t c h e r s o n ' ,   ' a n n a s o p h i a r o b b ' ,   ' r o b e r t p a t r i c k ' ] gáborcsupó [ ' a d v e n t u r e ' ,   ' d r a m a ' ,   ' f a m i l y ' ]"
['drama'],866,"['londonengland', 'scotland', 'parentskidsrelationship']",finding neverland,Finding Neverland is an amusing drama about how the story of Peter Pan and Neverland came to be. During a writing slump play writer J.M. Barrie meets the widowed Sylvia and her three children who soon become an important part of Barrie’s life and the inspiration that lead him to create his masterpiece “Peter Pan.”,"['johnnydepp', 'katewinslet', 'juliechristie']",marcforster,"[ ' l o n d o n e n g l a n d ' ,   ' s c o t l a n d ' ,   ' p a r e n t s k i d s r e l a t i o n s h i p ' ] [ ' j o h n n y d e p p ' ,   ' k a t e w i n s l e t ' ,   ' j u l i e c h r i s t i e ' ] marcforster [ ' d r a m a ' ]"
"['comedy', 'drama']",175555,['christmas'],a madea christmas,Madea dispenses her unique form of holiday spirit on rural town when she's coaxed into helping a friend pay her daughter a surprise visit in the country for Christmas.,"['tylerperry', 'annamariahorsford', 'tikasumpter']",tylerperry,"[ ' c h r i s t m a s ' ] [ ' t y l e r p e r r y ' ,   ' a n n a m a r i a h o r s f o r d ' ,   ' t i k a s u m p t e r ' ] tylerperry [ ' c o m e d y ' ,   ' d r a m a ' ]"
"['action', 'drama', 'thriller']",75174,"['alcohol', 'isolation', 'wolf']",the grey,An oil drilling team struggles to survive after a plane crash strands them in the wilds of Alaska. Hunting them is a pack of wolves that sees them as intruders.,"['liamneeson', 'dermotmulroney', 'frankgrillo']",joecarnahan,"[ ' a l c o h o l ' ,   ' i s o l a t i o n ' ,   ' w o l f ' ] [ ' l i a m n e e s o n ' ,   ' d e r m o t m u l r o n e y ' ,   ' f r a n k g r i l l o ' ] joecarnahan [ ' a c t i o n ' ,   ' d r a m a ' ,   ' t h r i l l e r ' ]"
"['horror', 'mystery', 'thriller']",11096,"['house', 'imaginaryfriend', 'suspense']",hide and seek,"David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination.","['robertdeniro', 'dakotafanning', 'famkejanssen']",johnpolson,"[ ' h o u s e ' ,   ' i m a g i n a r y f r i e n d ' ,   ' s u s p e n s e ' ] [ ' r o b e r t d e n i r o ' ,   ' d a k o t a f a n n i n g ' ,   ' f a m k e j a n s s e n ' ] johnpolson [ ' h o r r o r ' ,   ' m y s t e r y ' ,   ' t h r i l l e r ' ]"
['comedy'],8699,"['journalism', 'sexism', 'ladder']",anchorman: the legend of ron burgundy,"It's the 1970s, and San Diego super-sexist anchorman Ron Burgundy is the top dog in local TV, but that's all about to change when ambitious reporter Veronica Corningstone arrives as a new employee at his station.","['willferrell', 'christinaapplegate', 'paulrudd']",adammckay,"[ ' j o u r n a l i s m ' ,   ' s e x i s m ' ,   ' l a d d e r ' ] [ ' w i l l f e r r e l l ' ,   ' c h r i s t i n a a p p l e g a t e ' ,   ' p a u l r u d d ' ] adammckay [ ' c o m e d y ' ]"
"['drama', 'crime']",769,"['prison', 'basedonnovel', 'florida']",goodfellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","['robertdeniro', 'rayliotta', 'joepesci']",martinscorsese,"[ ' p r i s o n ' ,   ' b a s e d o n n o v e l ' ,   ' f l o r i d a ' ] [ ' r o b e r t d e n i r o ' ,   ' r a y l i o t t a ' ,   ' j o e p e s c i ' ] martinscorsese [ ' d r a m a ' ,   ' c r i m e ' ]"
['action'],10923,"['spy', 'cia', 'killerrobot']",agent cody banks,"Recruited by the U.S. government to be a special agent, nerdy teenager Cody Banks must get closer to cute classmate Natalie in order to learn about an evil plan hatched by her father. But despite the agent persona, Cody struggles with teen angst.","['frankiemuniz', 'hilaryduff', 'angieharmon']",haraldzwart,"[ ' s p y ' ,   ' c i a ' ,   ' k i l l e r r o b o t ' ] [ ' f r a n k i e m u n i z ' ,   ' h i l a r y d u f f ' ,   ' a n g i e h a r m o n ' ] haraldzwart [ ' a c t i o n ' ]"
"['fantasy', 'comedy', 'family']",11283,"['lossofmother', 'nanny', 'education']",nanny mcphee,"Widower Cedric Brown (Colin Firth) hires Nanny McPhee (Emma Thompson) to care for his seven rambunctious children, who have chased away all previous nannies. Taunted by Simon (Thomas Sangster) and his siblings, Nanny McPhee uses mystical powers to instill discipline. And when the children's great-aunt and benefactor, Lady Adelaide Stitch (Angela Lansbury), threatens to separate the kids, the family pulls together under the guidance of Nanny McPhee.","['emmathompson', 'colinfirth', 'kellymacdonald']",kirkjones,"[ ' l o s s o f m o t h e r ' ,   ' n a n n y ' ,   ' e d u c a t i o n ' ] [ ' e m m a t h o m p s o n ' ,   ' c o l i n f i r t h ' ,   ' k e l l y m a c d o n a l d ' ] kirkjones [ ' f a n t a s y ' ,   ' c o m e d y ' ,   ' f a m i l y ' ]"
"['action', 'crime', 'drama']",111,"['miami', 'corruption', 'capitalism']",scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.","['alpacino', 'stevenbauer', 'michellepfeiffer']",briandepalma,"[ ' m i a m i ' ,   ' c o r r u p t i o n ' ,   ' c a p i t a l i s m ' ] [ ' a l p a c i n o ' ,   ' s t e v e n b a u e r ' ,   ' m i c h e l l e p f e i f f e r ' ] briandepalma [ ' a c t i o n ' ,   ' c r i m e ' ,   ' d r a m a ' ]"
"['action', 'adventure', 'comedy']",11676,"['rapmusic', 'infidelity', 'securitycamera']",nothing to lose,"Advertising executive Nick Beame learns that his wife is sleeping with his employer. In a state of despair, he encounters a bumbling thief whose attempted carjacking goes awry when Nick takes him on an involuntary joyride. Soon the betrayed businessman and the incompetent crook strike up a partnership and develop a robbery-revenge scheme. But it turns out that some other criminals in the area don't appreciate the competition.","['timrobbins', 'martinlawrence', 'johnc.mcginley']",steveoedekerk,"[ ' r a p m u s i c ' ,   ' i n f i d e l i t y ' ,   ' s e c u r i t y c a m e r a ' ] [ ' t i m r o b b i n s ' ,   ' m a r t i n l a w r e n c e ' ,   ' j o h n c . m c g i n l e y ' ] steveoedekerk [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' c o m e d y ' ]"
"['drama', 'history']",746,"['buddhism', 'japan', 'suicide']",the last emperor,"A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.","['johnlone', ""petero'toole"", 'joanchen']",bernardobertolucci,"[ ' b u d d h i s m ' ,   ' j a p a n ' ,   ' s u i c i d e ' ] [ ' j o h n l o n e ' ,   "" p e t e r o ' t o o l e "" ,   ' j o a n c h e n ' ] bernardobertolucci [ ' d r a m a ' ,   ' h i s t o r y ' ]"
"['thriller', 'action', 'drama']",77866,"['headwound', 'criminal', 'securityguard']",contraband,"When his brother-in-law runs afoul of a drug lord, family man Chris Farraday turns to a skill he abandoned long ago – smuggling – to repay the debt. But the job goes wrong, and Farraday finds himself wanted by cops, crooks and killers alike.","['markwahlberg', 'katebeckinsale', 'benfoster']",baltasarkormákur,"[ ' h e a d w o u n d ' ,   ' c r i m i n a l ' ,   ' s e c u r i t y g u a r d ' ] [ ' m a r k w a h l b e r g ' ,   ' k a t e b e c k i n s a l e ' ,   ' b e n f o s t e r ' ] baltasarkormákur [ ' t h r i l l e r ' ,   ' a c t i o n ' ,   ' d r a m a ' ]"
"['action', 'adventure', 'comedy']",9416,"['prison', 'diamant', 'liberationofprisoners']",money talks,"Money Talks is a 1997 American comedy film directed by Brett Ratner. Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.","['christucker', 'charliesheen', 'heatherlocklear']",brettratner,"[ ' p r i s o n ' ,   ' d i a m a n t ' ,   ' l i b e r a t i o n o f p r i s o n e r s ' ] [ ' c h r i s t u c k e r ' ,   ' c h a r l i e s h e e n ' ,   ' h e a t h e r l o c k l e a r ' ] brettratner [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' c o m e d y ' ]"
['drama'],7345,"['brotherbrotherrelationship', 'deaf-mute', 'americandream']",there will be blood,"When ruthless oil prospector, Daniel Plainview learns of oil-rich land in California that can be bought cheaply, he moves his operation there and begins manipulating and exploiting the local landowners into selling him their property. Using his young adopted son to project the image of a caring family man, Plainview gains the cooperation of almost all the locals with lofty promises to build schools and cultivate the land to make their community flourish. Over time, Plainview's gradual accumulation of wealth and power causes his true self to surface, and he begins to slowly alienate himself from everyone in his life.","['danielday-lewis', 'pauldano', 'dillonfreasier']",paulthomasanderson,"[ ' b r o t h e r b r o t h e r r e l a t i o n s h i p ' ,   ' d e a f - m u t e ' ,   ' a m e r i c a n d r e a m ' ] [ ' d a n i e l d a y - l e w i s ' ,   ' p a u l d a n o ' ,   ' d i l l o n f r e a s i e r ' ] paulthomasanderson [ ' d r a m a ' ]"
"['animation', 'adventure', 'family']",14317,"['sistersisterrelationship', 'safari', 'wildlife']",the wild thornberrys movie,"Eliza and Debbie are two sisters who don't always get along. But their relationship is put to the test when Debbie's life is in danger, and Eliza might have to give up her power to talk to animals....","['laceychabert', 'tomkane', 'creesummer']",cathymalkasian,"[ ' s i s t e r s i s t e r r e l a t i o n s h i p ' ,   ' s a f a r i ' ,   ' w i l d l i f e ' ] [ ' l a c e y c h a b e r t ' ,   ' t o m k a n e ' ,   ' c r e e s u m m e r ' ] cathymalkasian [ ' a n i m a t i o n ' ,   ' a d v e n t u r e ' ,   ' f a m i l y ' ]"
"['animation', 'family']",20694,['kidsandfamily'],rugrats go wild,"Rugrats Go Wild is a 2003 crossover animated film, with two animated Nickelodeon television series Rugrats and The Wild Thornberrys.The film was produced by Klasky Csupo and released in theaters on June 13, 2003 by Paramount Pictures and Nickelodeon Movies. It also makes this the Rugrats series finale, after the show ceased production. As there are currently no further Rugrats movies in production, Rugrats Go Wild stands as the final Rugrats film. It is the only Nickelodeon film to be a crossover. Although it is a crossover film, it is primarily a Rugrats movie as the main plot focuses on the those characters.The Rugrats family vacation takes an exotic detour when their boat capsizes and they become shipwrecked on a deserted tropical island. With the jungle as their new backyard, the babies reace wildly from one dangerous adventure to the next…soon to discover that someone else is on the island. It's The Wild Thornberrys...on an island adventure of their own!","['e.g.daily', 'nancycartwright', 'kathsoucie']",nortonvirgien,"[ ' k i d s a n d f a m i l y ' ] [ ' e . g . d a i l y ' ,   ' n a n c y c a r t w r i g h t ' ,   ' k a t h s o u c i e ' ] nortonvirgien [ ' a n i m a t i o n ' ,   ' f a m i l y ' ]"
"['action', 'comedy']",12277,"['usapresident', 'doublelife', 'policyandorganisations']",undercover brother,"An Afro-American organization, the B.R.O.T.H.E.R.H.O.O.D., is in permanent fight against a white organization ""The Man"" defending the values of the black people in North America. When the Afro-American candidate Gen. Warren Boutwell behaves strangely in his presidential campaign, Undercover Brother is hired to work undercover for ""The Man"" and find what happened with the potential candidate.","['eddiegriffin', 'chriskattan', 'deniserichards']",malcolmd.lee,"[ ' u s a p r e s i d e n t ' ,   ' d o u b l e l i f e ' ,   ' p o l i c y a n d o r g a n i s a t i o n s ' ] [ ' e d d i e g r i f f i n ' ,   ' c h r i s k a t t a n ' ,   ' d e n i s e r i c h a r d s ' ] malcolmd.lee [ ' a c t i o n ' ,   ' c o m e d y ' ]"
"['drama', 'comedy']",9779,"['holiday', 'femalefriendship', 'jeans']",the sisterhood of the traveling pants,"Four best friends (Tibby, Lena, Carmen &amp; Bridget) who buy a mysterious pair of pants that fits each of them, despite their differing sizes, and makes whoever wears them feel fabulous. When faced with the prospect of spending their first summer apart, the pals decide they'll swap the pants so that each girl in turn can enjoy the magic.","['ambertamblyn', 'alexisbledel', 'americaferrera']",kenkwapis,"[ ' h o l i d a y ' ,   ' f e m a l e f r i e n d s h i p ' ,   ' j e a n s ' ] [ ' a m b e r t a m b l y n ' ,   ' a l e x i s b l e d e l ' ,   ' a m e r i c a f e r r e r a ' ] kenkwapis [ ' d r a m a ' ,   ' c o m e d y ' ]"
"['action', 'crime', 'thriller']",2140,"['paris', 'prostitute', 'drug']",kiss of the dragon,"Liu Jian, an elite Chinese police officer, comes to Paris to arrest a Chinese drug lord. When Jian is betrayed by a French officer and framed for murder, he must go into hiding and find new allies.","['jetli', 'bridgetfonda', 'tchékykaryo']",chrisnahon,"[ ' p a r i s ' ,   ' p r o s t i t u t e ' ,   ' d r u g ' ] [ ' j e t l i ' ,   ' b r i d g e t f o n d a ' ,   ' t c h é k y k a r y o ' ] chrisnahon [ ' a c t i o n ' ,   ' c r i m e ' ,   ' t h r i l l e r ' ]"
"['romance', 'comedy']",12620,"['virgin', 'nudity', 'college']",the house bunny,"Shelley is living a carefree life until a rival gets her tossed out of the Playboy Mansion. With nowhere to go, fate delivers her to the sorority girls from Zeta Alpha Zeta. Unless they can sign a new pledge class, the seven socially clueless women will lose their house to the scheming girls of Phi Iota Mu. In order to accomplish their goal, they need Shelley to teach them the ways of makeup and men; at the same time, Shelley needs some of what the Zetas have - a sense of individuality. The combination leads all the girls to learn how to stop pretending and start being themselves.","['annafaris', 'emmastone', 'katdennings']",fredwolf,"[ ' v i r g i n ' ,   ' n u d i t y ' ,   ' c o l l e g e ' ] [ ' a n n a f a r i s ' ,   ' e m m a s t o n e ' ,   ' k a t d e n n i n g s ' ] fredwolf [ ' r o m a n c e ' ,   ' c o m e d y ' ]"
"['comedy', 'romance']",14177,[],beauty shop,"You thought you'd heard it all in the barbershop, but you haven't heard anything yet - the women get their own chance to shampoo, shine, and speak their minds in Beauty Shop.","['queenlatifah', 'aliciasilverstone', 'andiemacdowell']",billewoodruff,"[ ] [ ' q u e e n l a t i f a h ' ,   ' a l i c i a s i l v e r s t o n e ' ,   ' a n d i e m a c d o w e l l ' ] billewoodruff [ ' c o m e d y ' ,   ' r o m a n c e ' ]"
['drama'],198185,"['baseball', 'sport', 'duringcreditsstinger']",million dollar arm,"In a last-ditch effort to save his career, sports agent JB Bernstein (Jon Hamm) dreams up a wild game plan to find Major League Baseball’s next great pitcher from a pool of cricket players in India. He soon discovers two young men who can throw a fastball but know nothing about the game of baseball. Or America. It’s an incredible and touching journey that will change them all — especially JB, who learns valuable lessons about teamwork, commitment and family.","['jonhamm', 'billpaxton', 'lakebell']",craiggillespie,"[ ' b a s e b a l l ' ,   ' s p o r t ' ,   ' d u r i n g c r e d i t s s t i n g e r ' ] [ ' j o n h a m m ' ,   ' b i l l p a x t o n ' ,   ' l a k e b e l l ' ] craiggillespie [ ' d r a m a ' ]"
"['drama', 'sciencefiction']",227156,"['dystopia', 'blackandwhite', 'basedonyoungadultnovel']",the giver,"In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.","['jeffbridges', 'merylstreep', 'brentonthwaites']",phillipnoyce,"[ ' d y s t o p i a ' ,   ' b l a c k a n d w h i t e ' ,   ' b a s e d o n y o u n g a d u l t n o v e l ' ] [ ' j e f f b r i d g e s ' ,   ' m e r y l s t r e e p ' ,   ' b r e n t o n t h w a i t e s ' ] phillipnoyce [ ' d r a m a ' ,   ' s c i e n c e f i c t i o n ' ]"
['comedy'],10735,"['londonengland', 'england', 'daughter']",what a girl wants,"An American girl, Daphne, heads to Europe in search of the father she's never met. But instead of finding a British version of her bohemian mother, she learns the love of her mom's life is an uptight politician. The only problem now is that her long-lost dad is engaged to a fiercely territorial social climber with a daughter who makes Daphne's life miserable.","['amandabynes', 'colinfirth', 'kellypreston']",denniegordon,"[ ' l o n d o n e n g l a n d ' ,   ' e n g l a n d ' ,   ' d a u g h t e r ' ] [ ' a m a n d a b y n e s ' ,   ' c o l i n f i r t h ' ,   ' k e l l y p r e s t o n ' ] denniegordon [ ' c o m e d y ' ]"
"['horror', 'thriller']",11351,"['fathersonrelationship', 'scarecrow', 'peasant']",jeepers creepers 2,"After 23 horrifying days of gorging on human flesh, an ancient creature known as the Creeper embarks on a final voracious feeding frenzy, terrorizing a group of varsity basketball players, cheerleaders and coaches stranded on a remote highway when their bus breaks down. The terrified group is forced to come together and do battle against the winged creature hell-bent on completing its grizzly ritual.","['raywise', 'jonathanbreck', 'garikayimutambirwa']",victorsalva,"[ ' f a t h e r s o n r e l a t i o n s h i p ' ,   ' s c a r e c r o w ' ,   ' p e a s a n t ' ] [ ' r a y w i s e ' ,   ' j o n a t h a n b r e c k ' ,   ' g a r i k a y i m u t a m b i r w a ' ] victorsalva [ ' h o r r o r ' ,   ' t h r i l l e r ' ]"
"['comedy', 'drama', 'romance']",10030,"['sex', 'aquarium', 'nudity']",good luck chuck,"Cursed since childhood, dentist Charlie Kagan cannot find the right woman. Even worse, he learns that each of his ex-girlfriends finds true love with the man she meets after her relationship with him ends. Hearing of Charlie's reputation as a good-luck charm, women from all over line up for a quick tryst. But when Charlie meets the woman of his dreams, he must find a way to break the curse or risk losing her to the next man she meets.","['danecook', 'jessicaalba', 'danfogler']",markhelfrich,"[ ' s e x ' ,   ' a q u a r i u m ' ,   ' n u d i t y ' ] [ ' d a n e c o o k ' ,   ' j e s s i c a a l b a ' ,   ' d a n f o g l e r ' ] markhelfrich [ ' c o m e d y ' ,   ' d r a m a ' ,   ' r o m a n c e ' ]"
